fixed_acidity,volatile_acidity,citric_acid,residual_sugar
7.4,0.37,0.43,2.6
8.8,0.64,0.17,2.9
7.1,0.61,0.02,2.5
7.7,0.6,0,2.6
10.1,0.27,0.54,2.3
10.8,0.89,0.3,2.6
8.7,0.46,0.31,2.5
9.3,0.37,0.44,1.6
9.4,0.5,0.34,3.6
9.4,0.5,0.34,3.6
7.2,0.61,0.08,4
8.6,0.55,0.09,3.3
5.1,0.585,0,1.7
7.7,0.56,0.08,2.5
8.4,0.52,0.22,2.7
8.2,0.28,0.4,2.4
8.4,0.25,0.39,2
8.2,0.28,0.4,2.4
7.4,0.53,0.12,1.9
7.6,0.48,0.31,2.8
7.3,0.49,0.1,2.6
12.9,0.5,0.55,2.8
10.8,0.45,0.33,2.5
6.9,0.39,0.24,2.1
12.6,0.41,0.54,2.8
10.8,0.45,0.33,2.5
9.8,0.51,0.19,3.2
10.8,0.29,0.42,1.6
7.1,0.715,0,2.35
9.1,0.66,0.15,3.2
7,0.685,0,1.9
4.9,0.42,0,2.1
6.7,0.54,0.13,2
6.7,0.54,0.13,2
7.1,0.48,0.28,2.8
7.1,0.46,0.14,2.8
7.5,0.27,0.34,2.3
7.1,0.46,0.14,2.8
7.8,0.57,0.09,2.3
5.9,0.61,0.08,2.1
7.5,0.685,0.07,2.5
5.9,0.61,0.08,2.1
10.4,0.44,0.42,1.5
11.6,0.47,0.44,1.6
8.8,0.685,0.26,1.6
7.6,0.665,0.1,1.5
6.7,0.28,0.28,2.4
6.7,0.28,0.28,2.4
10.1,0.31,0.35,1.6
6,0.5,0.04,2.2
11.1,0.42,0.47,2.65
6.6,0.66,0,3
10.6,0.5,0.45,2.6
7.1,0.685,0.35,2
9.9,0.25,0.46,1.7
6.4,0.64,0.21,1.8
6.4,0.64,0.21,1.8
7.4,0.68,0.16,1.8
6.4,0.64,0.21,1.8
6.4,0.63,0.21,1.6
9.3,0.43,0.44,1.9
9.3,0.43,0.44,1.9
8,0.42,0.32,2.5
9.3,0.36,0.39,1.5
9.3,0.36,0.39,1.5
7.6,0.735,0.02,2.5
9.3,0.36,0.39,1.5
8.2,0.26,0.34,2.5
11.7,0.28,0.47,1.7
6.8,0.56,0.22,1.8
7.2,0.62,0.06,2.7
5.8,1.01,0.66,2
7.5,0.42,0.32,2.7
7.2,0.62,0.06,2.5
7.2,0.62,0.06,2.7
7.2,0.635,0.07,2.6
6.8,0.49,0.22,2.3
6.9,0.51,0.23,2
6.8,0.56,0.22,1.8
7.6,0.63,0.03,2
7.7,0.715,0.01,2.1
6.9,0.56,0.03,1.5
7.3,0.35,0.24,2
9.1,0.21,0.37,1.6
10.4,0.38,0.46,2.1
8.8,0.31,0.4,2.8
7.1,0.47,0,2.2
7.7,0.715,0.01,2.1
8.8,0.61,0.19,4
7.2,0.6,0.04,2.5
9.2,0.56,0.18,1.6
7.6,0.715,0,2.1
8.4,0.31,0.29,3.1
7.2,0.6,0.04,2.5
8.8,0.61,0.19,4
8.9,0.75,0.14,2.5
9,0.8,0.12,2.4
10.7,0.52,0.38,2.6
6.8,0.57,0,2.5
10.7,0.9,0.34,6.6
7.2,0.34,0.24,2
7.2,0.66,0.03,2.3
10.1,0.45,0.23,1.9
7.2,0.66,0.03,2.3
7.2,0.63,0.03,2.2
7.1,0.59,0.01,2.3
8.3,0.31,0.39,2.4
7.1,0.59,0.01,2.3
8.3,0.31,0.39,2.4
8.3,1.02,0.02,3.4
8.9,0.31,0.36,2.6
7.4,0.635,0.1,2.4
7.4,0.635,0.1,2.4
6.8,0.59,0.06,6
6.8,0.59,0.06,6
9.2,0.58,0.2,3
7.2,0.54,0.27,2.6
6.1,0.56,0,2.2
7.4,0.52,0.13,2.4
7.3,0.305,0.39,1.2
9.3,0.38,0.48,3.8
9.1,0.28,0.46,9
10,0.46,0.44,2.9
9.4,0.395,0.46,4.6
7.3,0.305,0.39,1.2
8.6,0.315,0.4,2.2
5.3,0.715,0.19,1.5
6.8,0.41,0.31,8.8
8.4,0.36,0.32,2.2
8.4,0.62,0.12,1.8
9.6,0.41,0.37,2.3
8.4,0.36,0.32,2.2
8.4,0.62,0.12,1.8
6.8,0.41,0.31,8.8
8.6,0.47,0.27,2.3
8.6,0.22,0.36,1.9
9.4,0.24,0.33,2.3
8.4,0.67,0.19,2.2
8.6,0.47,0.27,2.3
8.7,0.33,0.38,3.3
6.6,0.61,0.01,1.9
7.4,0.61,0.01,2
7.6,0.4,0.29,1.9
7.4,0.61,0.01,2
6.6,0.61,0.01,1.9
8.8,0.3,0.38,2.3
8.8,0.3,0.38,2.3
12,0.63,0.5,1.4
7.2,0.38,0.38,2.8
6.2,0.46,0.17,1.6
9.6,0.33,0.52,2.2
9.9,0.27,0.49,5
10.1,0.43,0.4,2.6
9.8,0.5,0.34,2.3
8.3,0.3,0.49,3.8
10.2,0.44,0.42,2
10.2,0.44,0.58,4.1
8.3,0.28,0.48,2.1
8.9,0.12,0.45,1.8
8.9,0.12,0.45,1.8
8.9,0.12,0.45,1.8
8.3,0.28,0.48,2.1
8.2,0.31,0.4,2.2
10.2,0.34,0.48,2.1
7.6,0.43,0.4,2.7
8.5,0.21,0.52,1.9
9,0.36,0.52,2.1
9.5,0.37,0.52,2
6.4,0.57,0.12,2.3
8,0.59,0.05,2
8.5,0.47,0.27,1.9
7.1,0.56,0.14,1.6
6.6,0.57,0.02,2.1
8.8,0.27,0.39,2
8.5,0.47,0.27,1.9
8.3,0.34,0.4,2.4
9,0.38,0.41,2.4
8.5,0.66,0.2,2.1
9,0.4,0.43,2.4
6.7,0.56,0.09,2.9
10.4,0.26,0.48,1.9
10.4,0.26,0.48,1.9
10.1,0.38,0.5,2.4
8.5,0.34,0.44,1.7
8.8,0.33,0.41,5.9
7.2,0.41,0.3,2.1
7.2,0.41,0.3,2.1
8.4,0.59,0.29,2.6
7,0.4,0.32,3.6
12.2,0.45,0.49,1.4
9.1,0.5,0.3,1.9
9.5,0.86,0.26,1.9
7.3,0.52,0.32,2.1
9.1,0.5,0.3,1.9
12.2,0.45,0.49,1.4
7.4,0.58,0,2
9.8,0.34,0.39,1.4
7.1,0.36,0.3,1.6
7.7,0.39,0.12,1.7
9.7,0.295,0.4,1.5
7.7,0.39,0.12,1.7
7.1,0.34,0.28,2
6.5,0.4,0.1,2
7.1,0.34,0.28,2
10,0.35,0.45,2.5
7.7,0.6,0.06,2
5.6,0.66,0,2.2
5.6,0.66,0,2.2
8.9,0.84,0.34,1.4
6.4,0.69,0,1.65
7.5,0.43,0.3,2.2
9.9,0.35,0.38,1.5
9.1,0.29,0.33,2.05
6.8,0.36,0.32,1.8
8.2,0.43,0.29,1.6
6.8,0.36,0.32,1.8
9.1,0.29,0.33,2.05
9.1,0.3,0.34,2
8.9,0.35,0.4,3.6
9.6,0.5,0.36,2.8
8.9,0.28,0.45,1.7
8.9,0.32,0.31,2
7.7,1.005,0.15,2.1
7.5,0.71,0,1.6
8,0.58,0.16,2
10.5,0.39,0.46,2.2
8.9,0.38,0.4,2.2
8,0.18,0.37,0.9
8,0.18,0.37,0.9
7,0.5,0.14,1.8
11.3,0.36,0.66,2.4
11.3,0.36,0.66,2.4
7,0.51,0.09,2.1
8.2,0.32,0.42,2.3
7.7,0.58,0.01,1.8
8.6,0.83,0,2.8
7.9,0.31,0.32,1.9
6.4,0.795,0,2.2
7.2,0.34,0.21,2.5
7.7,0.58,0.01,1.8
7.1,0.59,0,2.1
7.3,0.55,0.01,1.8
8.1,0.82,0,4.1
7.5,0.57,0.08,2.6
8.9,0.745,0.18,2.5
10.1,0.37,0.34,2.4
7.6,0.31,0.34,2.5
7.3,0.91,0.1,1.8
8.7,0.41,0.41,6.2
8.9,0.5,0.21,2.2
7.4,0.965,0,2.2
6.9,0.49,0.19,1.7
8.9,0.5,0.21,2.2
9.5,0.39,0.41,8.9
6.4,0.39,0.33,3.3
6.9,0.44,0,1.4
7.6,0.78,0,1.7
7.1,0.43,0.17,1.8
9.3,0.49,0.36,1.7
9.3,0.5,0.36,1.8
7.1,0.43,0.17,1.8
8.5,0.46,0.59,1.4
5.6,0.605,0.05,2.4
8.3,0.33,0.42,2.3
8.2,0.64,0.27,2
8.2,0.64,0.27,2
8.9,0.48,0.53,4
7.6,0.42,0.25,3.9
9.9,0.53,0.57,2.4
8.9,0.48,0.53,4
11.6,0.23,0.57,1.8
9.1,0.4,0.5,1.8
8,0.38,0.44,1.9
10.2,0.29,0.65,2.4
8.2,0.74,0.09,2
7.7,0.61,0.18,2.4
6.6,0.52,0.08,2.4
11.1,0.31,0.53,2.2
11.1,0.31,0.53,2.2
8,0.62,0.35,2.8
9.3,0.33,0.45,1.5
7.5,0.77,0.2,8.1
7.2,0.35,0.26,1.8
8,0.62,0.33,2.7
7.5,0.77,0.2,8.1
9.1,0.25,0.34,2
9.9,0.32,0.56,2
8.6,0.37,0.65,6.4
8.6,0.37,0.65,6.4
7.9,0.3,0.68,8.3
10.3,0.27,0.56,1.4
7.9,0.3,0.68,8.3
7.2,0.38,0.3,1.8
8.7,0.42,0.45,2.4
7.2,0.38,0.3,1.8
6.8,0.48,0.08,1.8
8.5,0.34,0.4,4.7
7.9,0.19,0.42,1.6
11.6,0.41,0.54,1.5
11.6,0.41,0.54,1.5
10,0.26,0.54,1.9
7.9,0.34,0.42,2
7,0.54,0.09,2
9.2,0.31,0.36,2.2
6.6,0.725,0.09,5.5
9.4,0.4,0.47,2.5
6.6,0.725,0.09,5.5
8.6,0.52,0.38,1.5
8,0.31,0.45,2.1
8.6,0.52,0.38,1.5
8.4,0.34,0.42,2.1
7.4,0.49,0.27,2.1
6.1,0.48,0.09,1.7
7.4,0.49,0.27,2.1
8,0.48,0.34,2.2
6.3,0.57,0.28,2.1
8.2,0.23,0.42,1.9
9.1,0.3,0.41,2
8.1,0.78,0.1,3.3
10.8,0.47,0.43,2.1
8.3,0.53,0,1.4
5.4,0.42,0.27,2
7.9,0.33,0.41,1.5
8.9,0.24,0.39,1.6
5,0.4,0.5,4.3
7,0.69,0.07,2.5
7,0.69,0.07,2.5
7,0.69,0.07,2.5
7.1,0.39,0.12,2.1
5.6,0.66,0,2.5
7.9,0.54,0.34,2.5
6.6,0.5,0,1.8
6.3,0.47,0,1.4
10.7,0.4,0.37,1.9
6.5,0.58,0,2.2
8.8,0.24,0.35,1.7
5.8,0.29,0.26,1.7
6.3,0.76,0,2.9
10,0.43,0.33,2.7
10.5,0.43,0.35,3.3
9.1,0.6,0,1.9
5.9,0.19,0.21,1.7
7.4,0.36,0.34,1.8
7.2,0.48,0.07,5.5
8.5,0.28,0.35,1.7
8,0.25,0.43,1.7
10.4,0.52,0.45,2
10.4,0.52,0.45,2
7.5,0.41,0.15,3.7
8.2,0.51,0.24,2
7.3,0.4,0.3,1.7
8.2,0.38,0.32,2.5
6.9,0.45,0.11,2.4
7,0.22,0.3,1.8
7.3,0.32,0.23,2.3
8.2,0.2,0.43,2.5
7.8,0.5,0.12,1.8
10,0.41,0.45,6.2
7.8,0.39,0.42,2
10,0.35,0.47,2
8.2,0.33,0.32,2.8
6.1,0.58,0.23,2.5
8.3,0.6,0.25,2.2
9.6,0.42,0.35,2.1
6.6,0.58,0,2.2
8.3,0.6,0.25,2.2
8.5,0.18,0.51,1.75
5.1,0.51,0.18,2.1
6.7,0.41,0.43,2.8
10.2,0.41,0.43,2.2
10.6,0.36,0.57,2.3
8.8,0.45,0.43,1.4
8.5,0.32,0.42,2.3
9,0.785,0.24,1.7
9,0.785,0.24,1.7
8.5,0.44,0.5,1.9
9.9,0.54,0.26,2
8.2,0.33,0.39,2.5
6.5,0.34,0.27,2.8
7.6,0.5,0.29,2.3
9.2,0.36,0.34,1.6
7.1,0.59,0,2.2
9.7,0.42,0.46,2.1
7.6,0.36,0.31,1.7
7.6,0.36,0.31,1.7
6.5,0.61,0,2.2
6.5,0.88,0.03,5.6
7.1,0.66,0,2.4
5.6,0.915,0,2.1
8.2,0.35,0.33,2.4
8.2,0.35,0.33,2.4
9.8,0.39,0.43,1.65
10.2,0.4,0.4,2.5
6.8,0.66,0.07,1.6
6.7,0.64,0.23,2.1
7,0.43,0.3,2
6.6,0.8,0.03,7.8
7,0.43,0.3,2
6.7,0.64,0.23,2.1
8.8,0.955,0.05,1.8
9.1,0.4,0.57,4.6
6.5,0.885,0,2.3
7.2,0.25,0.37,2.5
6.4,0.885,0,2.3
7,0.745,0.12,1.8
6.2,0.43,0.22,1.8
7.9,0.58,0.23,2.3
7.7,0.57,0.21,1.5
7.7,0.26,0.26,2
7.9,0.58,0.23,2.3
7.7,0.57,0.21,1.5
7.9,0.34,0.36,1.9
8.6,0.42,0.39,1.8
9.9,0.74,0.19,5.8
7.2,0.36,0.46,2.1
7.2,0.36,0.46,2.1
7.2,0.36,0.46,2.1
9.9,0.72,0.55,1.7
7.2,0.36,0.46,2.1
6.2,0.39,0.43,2
6.8,0.65,0.02,2.1
6.6,0.44,0.15,2.1
6.8,0.65,0.02,2.1
9.6,0.38,0.42,1.9
10.2,0.33,0.46,1.9
8.8,0.27,0.46,2.1
7.9,0.57,0.31,2
8.2,0.34,0.37,1.9
8.2,0.4,0.31,1.9
9,0.39,0.4,1.3
10.9,0.32,0.52,1.8
10.9,0.32,0.52,1.8
8.1,0.53,0.22,2.2
10.5,0.36,0.47,2.2
12.6,0.39,0.49,2.5
9.2,0.46,0.23,2.6
7.5,0.58,0.03,4.1
9,0.58,0.25,2
5.1,0.42,0,1.8
7.6,0.43,0.29,2.1
7.7,0.18,0.34,2.7
7.8,0.815,0.01,2.6
7.6,0.43,0.29,2.1
10.2,0.23,0.37,2.2
7.1,0.75,0.01,2.2
6,0.33,0.32,12.9
7.8,0.55,0,1.7
7.1,0.75,0.01,2.2
8.1,0.73,0,2.5
6.5,0.67,0,4.3
7.5,0.61,0.2,1.7
9.8,0.37,0.39,2.5
9,0.4,0.41,2
8.3,0.56,0.22,2.4
5.9,0.29,0.25,13.4
7.4,0.55,0.19,1.8
7.4,0.74,0.07,1.7
7.4,0.55,0.19,1.8
6.9,0.41,0.33,2.2
7.1,0.6,0.01,2.3
7.1,0.6,0.01,2.3
7.5,0.58,0.14,2.2
7.1,0.72,0,1.8
7.9,0.66,0,1.4
7.8,0.7,0.06,1.9
6.1,0.64,0.02,2.4
7.5,0.59,0.22,1.8
7,0.58,0.28,4.8
6.8,0.64,0,2.7
6.8,0.64,0,2.7
8.6,0.635,0.68,1.8
6.3,1.02,0,2
9.8,0.45,0.38,2.5
8.2,0.78,0,2.2
8.5,0.37,0.32,1.8
7.2,0.57,0.05,2.3
7.2,0.57,0.05,2.3
10.4,0.43,0.5,2.3
6.9,0.41,0.31,2
5.5,0.49,0.03,1.8
5,0.38,0.01,1.6
7.3,0.44,0.2,1.6
5.9,0.46,0,1.9
7.5,0.58,0.2,2
7.8,0.58,0.13,2.1
8,0.715,0.22,2.3
8.5,0.4,0.4,6.3
7,0.69,0,1.9
8,0.715,0.22,2.3
9.8,0.3,0.39,1.7
7.1,0.46,0.2,1.9
7.1,0.46,0.2,1.9
7.9,0.765,0,2
8.7,0.63,0.28,2.7
7,0.42,0.19,2.3
11.3,0.37,0.5,1.8
7.1,0.16,0.44,2.5
8,0.6,0.08,2.6
7,0.6,0.3,4.5
7,0.6,0.3,4.5
7.6,0.74,0,1.9
8.2,0.635,0.1,2.1
5.9,0.395,0.13,2.4
7.5,0.755,0,1.9
8.2,0.635,0.1,2.1
6.6,0.63,0,4.3
6.6,0.63,0,4.3
7.2,0.53,0.14,2.1
5.7,0.6,0,1.4
7.6,1.58,0,2.1
5.2,0.645,0,2.15
6.7,0.86,0.07,2
9.1,0.37,0.32,2.1
8,0.28,0.44,1.8
7.6,0.79,0.21,2.3
7.5,0.61,0.26,1.9
9.7,0.69,0.32,2.5
6.8,0.68,0.09,3.9
9.7,0.69,0.32,2.5
7,0.62,0.1,1.4
7.5,0.61,0.26,1.9
6.5,0.51,0.15,3
8,1.18,0.21,1.9
7,0.36,0.21,2.3
7,0.36,0.21,2.4
7.5,0.63,0.27,2
5.4,0.74,0,1.2
9.9,0.44,0.46,2.2
7.5,0.63,0.27,2
9.1,0.76,0.68,1.7
9.7,0.66,0.34,2.6
5,0.74,0,1.2
9.1,0.34,0.42,1.8
9.1,0.36,0.39,1.8
6.7,0.46,0.24,1.7
6.7,0.46,0.24,1.7
6.7,0.46,0.24,1.7
6.7,0.46,0.24,1.7
6.5,0.52,0.11,1.8
7.4,0.6,0.26,2.1
7.4,0.6,0.26,2.1
7.8,0.87,0.26,3.8
8.4,0.39,0.1,1.7
9.1,0.775,0.22,2.2
7.2,0.835,0,2
6.6,0.58,0.02,2.4
6,0.5,0,1.4
6,0.5,0,1.4
6,0.5,0,1.4
7.5,0.51,0.02,1.7
7.5,0.51,0.02,1.7
7.5,0.51,0.02,1.7
7.6,0.54,0.02,1.7
7.5,0.51,0.02,1.7
11.5,0.42,0.48,2.6
8.2,0.44,0.24,2.3
6.1,0.59,0.01,2.1
7.2,0.655,0.03,1.8
7.2,0.655,0.03,1.8
6.9,0.57,0,2.8
9,0.6,0.29,2
7.2,0.62,0.01,2.3
7.6,0.645,0.03,1.9
7.6,0.645,0.03,1.9
7.2,0.58,0.03,2.3
6.1,0.32,0.25,1.8
6.1,0.34,0.25,1.8
7.3,0.43,0.24,2.5
7.4,0.64,0.17,5.4
11.6,0.475,0.4,1.4
9.2,0.54,0.31,2.3
8.3,0.85,0.14,2.5
11.6,0.475,0.4,1.4
8,0.83,0.27,2
7.2,0.605,0.02,1.9
7.8,0.5,0.09,2.2
7.3,0.74,0.08,1.7
6.9,0.54,0.3,2.2
8,0.77,0.32,2.1
6.6,0.61,0,1.6
8.7,0.78,0.51,1.7
7.5,0.58,0.56,3.1
8.7,0.78,0.51,1.7
7.7,0.75,0.27,3.8
6.8,0.815,0,1.2
7.2,0.56,0.26,2
8.2,0.885,0.2,1.4
5.2,0.49,0.26,2.3
7.2,0.45,0.15,2
7.5,0.57,0.02,2.6
7.5,0.57,0.02,2.6
6.8,0.83,0.09,1.8
8,0.6,0.22,2.1
8,0.6,0.22,2.1
7.1,0.755,0.15,1.8
8,0.81,0.25,3.4
7.4,0.64,0.07,1.8
7.4,0.64,0.07,1.8
6.6,0.64,0.31,6.1
6.7,0.48,0.02,2.2
6,0.49,0,2.3
8,0.64,0.22,2.4
7.1,0.62,0.06,1.3
8,0.52,0.25,2
6.4,0.57,0.14,3.9
8.6,0.685,0.1,1.6
8.7,0.675,0.1,1.6
7.3,0.59,0.26,2
7,0.6,0.12,2.2
7.2,0.67,0,2.2
7.9,0.69,0.21,2.1
7.9,0.69,0.21,2.1
7.6,0.3,0.42,2
7.2,0.33,0.33,1.7
8,0.5,0.39,2.6
7.7,0.28,0.3,2
8.2,0.24,0.34,5.1
6,0.51,0,2.1
8.1,0.29,0.36,2.2
6,0.51,0,2.1
6.6,0.96,0,1.8
6.4,0.47,0.4,2.4
8.2,0.24,0.34,5.1
9.9,0.57,0.25,2
10,0.32,0.59,2.2
6.2,0.58,0,1.6
10,0.32,0.59,2.2
7.3,0.34,0.33,2.5
7.8,0.53,0.01,1.6
7.7,0.64,0.21,2.2
7.8,0.53,0.01,1.6
7.5,0.4,0.18,1.6
7,0.54,0,2.1
6.4,0.53,0.09,3.9
8.3,0.26,0.37,1.4
8.3,0.26,0.37,1.4
7.7,0.23,0.37,1.8
7.6,0.41,0.33,2.5
7.8,0.64,0,1.9
7.9,0.18,0.4,2.2
7.4,0.41,0.24,1.8
7.6,0.43,0.31,2.1
5.9,0.44,0,1.6
6.1,0.4,0.16,1.8
10.2,0.54,0.37,15.4
10.2,0.54,0.37,15.4
10,0.38,0.38,1.6
6.8,0.915,0.29,4.8
7,0.59,0,1.7
7.3,0.67,0.02,2.2
7.2,0.37,0.32,2
7.4,0.785,0.19,5.2
6.9,0.63,0.02,1.9
6.9,0.58,0.2,1.75
7.3,0.67,0.02,2.2
7.4,0.785,0.19,5.2
6.9,0.63,0.02,1.9
6.8,0.67,0,1.9
6.9,0.58,0.01,1.9
7.2,0.38,0.31,2
7.2,0.37,0.32,2
7.8,0.32,0.44,2.7
6.6,0.58,0.02,2
7.6,0.49,0.33,1.9
11.7,0.45,0.63,2.2
6.5,0.9,0,1.6
6,0.54,0.06,1.8
7.6,0.49,0.33,1.9
8.4,0.29,0.4,1.7
7.9,0.2,0.35,1.7
6.4,0.42,0.09,2.3
6.2,0.785,0,2.1
6.8,0.64,0.03,2.3
6.9,0.63,0.01,2.4
6.8,0.59,0.1,1.7
6.8,0.59,0.1,1.7
7.3,0.48,0.32,2.1
6.7,1.04,0.08,2.3
7.3,0.48,0.32,2.1
7.3,0.98,0.05,2.1
10,0.69,0.11,1.4
6.7,0.7,0.08,3.75
7.6,0.35,0.6,2.6
6.1,0.6,0.08,1.8
9.9,0.5,0.5,13.8
5.3,0.47,0.11,2.2
9.9,0.5,0.5,13.8
5.3,0.47,0.11,2.2
7.1,0.875,0.05,5.7
8.2,0.28,0.6,3
5.6,0.62,0.03,1.5
8.2,0.28,0.6,3
7.2,0.58,0.54,2.1
8.1,0.33,0.44,1.5
6.8,0.91,0.06,2
7,0.655,0.16,2.1
6.8,0.68,0.21,2.1
6,0.64,0.05,1.9
5.6,0.54,0.04,1.7
6.2,0.57,0.1,2.1
7.1,0.22,0.49,1.8
5.6,0.54,0.04,1.7
6.2,0.65,0.06,1.6
7.7,0.54,0.26,1.9
6.4,0.31,0.09,1.4
7,0.43,0.02,1.9
7.7,0.54,0.26,1.9
6.9,0.74,0.03,2.3
6.6,0.895,0.04,2.3
6.9,0.74,0.03,2.3
7.5,0.725,0.04,1.5
7.8,0.82,0.29,4.3
7.3,0.585,0.18,2.4
6.2,0.44,0.39,2.5
7.5,0.38,0.57,2.3
6.7,0.76,0.02,1.8
6.8,0.81,0.05,2
7.5,0.38,0.57,2.3
7.1,0.27,0.6,2.1
7.9,0.18,0.4,1.8
6.4,0.36,0.21,2.2
7.1,0.69,0.04,2.1
6.4,0.79,0.04,2.2
6.4,0.56,0.15,1.8
6.9,0.84,0.21,4.1
6.9,0.84,0.21,4.1
6.1,0.32,0.25,2.3
6.5,0.53,0.06,2
7.4,0.47,0.46,2.2
6.6,0.7,0.08,2.6
6.5,0.53,0.06,2
6.9,0.48,0.2,1.9
6.1,0.32,0.25,2.3
6.8,0.48,0.25,2
6,0.42,0.19,2
6.7,0.48,0.08,2.1
6.8,0.47,0.08,2.2
7.1,0.53,0.07,1.7
7.9,0.29,0.49,2.2
7.1,0.69,0.08,2.1
6.6,0.44,0.09,2.2
6.1,0.705,0.1,2.8
7.2,0.53,0.13,2
8,0.39,0.3,1.9
6.6,0.56,0.14,2.4
7,0.55,0.13,2.2
6.1,0.53,0.08,1.9
5.4,0.58,0.08,1.9
6.2,0.64,0.09,2.5
7.2,0.39,0.32,1.8
6.2,0.52,0.08,4.4
7.4,0.25,0.29,2.2
6.7,0.855,0.02,1.9
11.1,0.44,0.42,2.2
8.4,0.37,0.43,2.3
6.5,0.63,0.33,1.8
7,0.57,0.02,2
6.3,0.6,0.1,1.6
11.2,0.4,0.5,2
7.4,0.36,0.3,1.8
7.1,0.68,0,2.3
7.1,0.67,0,2.3
6.3,0.68,0.01,3.7
7.3,0.735,0,2.2
6.6,0.855,0.02,2.4
7,0.56,0.17,1.7
6.6,0.88,0.04,2.2
6.6,0.855,0.02,2.4
6.9,0.63,0.33,6.7
7.8,0.6,0.26,2
7.8,0.6,0.26,2
7.8,0.6,0.26,2
7.2,0.695,0.13,2
7.2,0.695,0.13,2
7.2,0.695,0.13,2
6.7,0.67,0.02,1.9
6.7,0.16,0.64,2.1
7.2,0.695,0.13,2
7,0.56,0.13,1.6
6.2,0.51,0.14,1.9
6.4,0.36,0.53,2.2
6.4,0.38,0.14,2.2
7.3,0.69,0.32,2.2
6,0.58,0.2,2.4
5.6,0.31,0.78,13.9
7.5,0.52,0.4,2.2
8,0.3,0.63,1.6
6.2,0.7,0.15,5.1
6.8,0.67,0.15,1.8
6.2,0.56,0.09,1.7
7.4,0.35,0.33,2.4
6.2,0.56,0.09,1.7
6.1,0.715,0.1,2.6
6.2,0.46,0.29,2.1
6.7,0.32,0.44,2.4
7.2,0.39,0.44,2.6
7.5,0.31,0.41,2.4
5.8,0.61,0.11,1.8
7.2,0.66,0.33,2.5
6.6,0.725,0.2,7.8
6.3,0.55,0.15,1.8
5.4,0.74,0.09,1.7
6.3,0.51,0.13,2.3
6.8,0.62,0.08,1.9
6.2,0.6,0.08,2
5.9,0.55,0.1,2.2
6.3,0.51,0.13,2.3
5.9,0.645,0.12,2
6,0.31,0.47,3.6
